txn_date,narration,credit_paise,debit_paise,closing_balance_paise,bank_ref
10/02/2026,NEFT-RAZORPAY SOFTWARE PRIVA-967358700779-HDFC-XXXXX,19299697,0,375476764,HDFC565398096
11/02/2026,NEFT-RAZORPAY SOFTWARE PRIVA-243029719597-HDFC-XXXXX,7983179,0,383459943,HDFC348184037
12/02/2026,MISC CR 8817726251,7303400,0,390763343,HDFC289633001
13/02/2026,UPI/CR/l42328082445/RAZORPAY/HDFC/SETTLEMENT,10271609,0,401034952,HDFC389349647
16/02/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-466301251243,9072812,0,410107764,HDFC204984232
17/02/2026,RTGS-439753574845-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,23880618,0,433988382,HDFC870600500
23/02/2026,UPI/CR/854576342526/RAZORPAY/HDFC/SETTLEMENT,31501225,0,465489607,HDFC105105606
24/02/2026,RTGS-621953714127-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,18738954,0,484228561,HDFC367463576
25/02/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-924959208871,7295569,0,491524130,HDFC261444555
03/03/2026,NEFT-RAZORPAY SOFTWARE PRIVA-765341964028-HDFC-XXXXX,53469622,0,544993752,HDFC762677742
04/03/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-169282446037,7910943,0,552904695,HDFC806122164
05/03/2026,RTGS-794976046612-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,9627022,0,562531717,HDFC242211003
06/03/2026,NEFT-RAZORPAY SOFTWARE PRIVA-643941719448-HDFC-XXXXX,5821798,0,568353515,HDFC622620131
09/03/2026,RTGS-80981136530I-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,5270567,0,573624082,HDFC757244785
10/03/2026,NEFT-RAZORPAY SOFTWARE PRIVA-524861070110-HDFC-XXXXX,22237647,0,595861729,HDFC671031739
11/03/2026,MISC CR 8817726251,4896879,0,600758608,HDFC215881773
12/03/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-551288376681,9149301,0,609907909,HDFC392615499
13/03/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-969438434189,5611877,0,615519786,HDFC983241340
16/03/2026,RTGS-873236110678-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,10141254,0,625661040,HDFC469152861
17/03/2026,RTGS-484049740251-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,17928821,0,643589861,HDFC855180772
18/03/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-986919796852,8061197,0,651651058,HDFC957450326
19/03/2026,RTGS-769699224170-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,6818324,0,658469382,HDFC637318487
20/03/2026,RTGS-127163071566-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,8266442,0,666735824,HDFC820440202
27/03/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-59360567,53368698,0,720104522,HDFC803550525
31/03/2026,NEFT-RAZORPAY SOFTWARE PRIVA-HDFC-XXXXX,28392886,0,748497408,HDFC801471152
04/03/2026,CR-TRF-000000000000-B2B,621185,0,749118593,HDFC882328503
04/02/2026,*NEFT*//..//SETTL//,235331,0,749353924,HDFC845765361
