payment_id,order_id,captured_at,amount_paise,method,fee_paise,gst_paise,settlement_id,status
pay_xv61bg0t1nrykw,order_s5kcpbpaw8oo5c,2026-01-09 07:19:06,44400,upi,0,0,setl_wczngzgpdx2vlj,captured
pay_4uxn6roxbqr26y,order_wmtlad3ymncg8d,2026-03-08 15:31:22,111000,upi,0,0,setl_t09hpfje1ebpw5,captured
pay_hvglmud80w1jx1,order_z8zoi91c2firu1,2026-01-18 19:42:05,98000,upi,0,0,setl_lsdr1p4ascpfyv,refunded
pay_lb4gguqar5vipw,order_yim7ge4s9v8t9l,2026-03-09 13:38:11,42500,wallet,935,168,setl_dlxg7wuq8atouk,captured
pay_y57aei5kmd5ow9,order_3opokk2hctyiyy,2026-03-18 19:33:10,131600,upi,0,0,setl_dhvhrkoxibpgpa,captured
pay_4cpywwzj9rjw9z,order_bd10pcm6ot3icb,2026-02-14 17:25:57,117600,upi,0,0,setl_1ccachqdm6zqy6,captured
pay_eq71k0iqel9ud3,order_fzk3xofui3mfn6,2026-01-30 11:48:41,152700,card,3054,550,setl_wtdawru6vzsqao,captured
pay_y369mejwua4509,order_bxcteeifjuoxtw,2026-02-16 18:02:25,45300,netbanking,861,155,setl_g9ndkzngcavtd0,captured
pay_nebjzsrfdlaqwj,order_m7dexalpnkzcj7,2026-03-16 12:50:09,141200,upi,0,0,setl_0j8yan61kfvae6,captured
pay_zjbkhe1u2ohyke,order_vniptch6c845s2,2026-01-05 21:37:02,65400,upi,0,0,setl_0y3f5i3lowyhl7,captured
pay_gogq5lqly4mhz4,order_r8afy4dby84is4,2026-03-19 21:28:43,70900,netbanking,1347,242,setl_pda4jnpynovbu4,captured
pay_07ivez5d5kmumc,order_5qrz21gtwln2im,2026-02-15 17:30:36,133700,upi,0,0,setl_1ccachqdm6zqy6,captured
pay_8wa8u6yie3xgcg,order_codmrz7mqn3k2n,2026-03-03 16:48:33,339600,upi,0,0,setl_ibhjr0pf1ix7hg,captured
pay_ga2h3hjt2sa6il,order_wblwf5xuv159ep,2026-03-29 12:45:13,306500,upi,0,0,setl_ow0twtoerpe7vu,captured
pay_583zig0cop4984,order_c6u2rtaqr2d7x5,2026-01-06 16:58:51,31400,upi,0,0,setl_eg6abr92l84xwe,captured
pay_7sn0kqxpgfy6q9,order_o3l23vh0jc47du,2026-01-04 14:11:11,356100,upi,0,0,setl_guejg2ci2ueajv,captured
pay_m96fjotsshco81,order_t5ohaoxwgfnyhz,2026-01-27 17:23:25,43900,upi,0,0,setl_1qrq836c1gk53i,captured
pay_js45dlajj1pdjq,order_84flgiyy8780o6,2026-01-12 10:30:26,67200,upi,0,0,setl_m3uyskj10mky0x,captured
pay_3z5oenx3oke5ov,order_e4op3iv79dgnb2,2026-01-06 11:16:32,102700,upi,0,0,setl_eg6abr92l84xwe,captured
pay_74etlsdjwrnssu,order_ynrybrdb21iyld,2026-01-26 15:37:04,40500,upi,0,0,setl_q2gssh4lb04rrn,captured
pay_1fofroz1fjn7gf,order_26o769d6b98dhl,2026-03-12 09:23:55,97400,upi,0,0,setl_jvumun9mdld03w,captured
pay_q06y5rgkn1nwsy,order_qh03uo74jbxdmq,2026-02-13 13:46:03,90200,upi,0,0,setl_1ccachqdm6zqy6,captured
pay_a0p4gd0ra0ivek,order_05vhzgqiji7qz1,2026-01-31 07:24:35,37000,upi,0,0,setl_wtdawru6vzsqao,refunded
pay_pz9rr60odw3x9z,order_usk9gzyhwzupz1,2026-02-06 18:05:31,51200,card,1024,184,setl_lqv1guqfhvhipf,captured
pay_ymw33k77hv4ppm,order_hlk9v32wbvgnw2,2026-02-22 16:15:19,736800,upi,0,0,setl_p1cw1lfocopqsx,refunded
pay_p3ymxodsx9vtfa,order_a877pe1uoyijxn,2026-02-16 17:37:49,325000,upi,0,0,setl_g9ndkzngcavtd0,captured
pay_k5z7lfwlrp6qpk,order_t8yma8xak4e126,2026-02-10 06:09:26,413400,upi,0,0,setl_vwl76fog1dd96l,captured
pay_n1oy9p94p1b4f8,order_4onbxpwfpwo5sx,2026-01-13 08:12:17,80100,card,1602,288,setl_y2rxrt4vhx921w,captured
pay_d730me9xcemd2f,order_qv163yg90jriwk,2026-02-22 06:43:58,80400,netbanking,1528,275,setl_p1cw1lfocopqsx,captured
pay_x52tf909ri87hw,order_cax0u7pb9c1ysb,2026-02-28 06:32:03,84300,upi,0,0,setl_6ukblvz2l8aqqk,captured
pay_dhtdwtp1waoc9c,order_iaaiey6kbujzvc,2026-03-01 13:48:53,51700,upi,0,0,setl_6ukblvz2l8aqqk,captured
pay_4x29u3vtriumw8,order_g7vfsix40egspl,2026-01-27 11:58:44,162800,upi,0,0,setl_1qrq836c1gk53i,captured
pay_9sdxi6cncbhpw9,order_mvb790m5a6xbw4,2026-01-02 07:36:15,97200,upi,0,0,setl_guejg2ci2ueajv,captured
pay_9fox6zmmzewe8l,order_z099o3y00woaq5,2026-02-17 16:10:05,293800,upi,0,0,setl_rek0ik6hmx1wvj,captured
pay_j9mhkg8x683hla,order_fp6j4irrf0t323,2026-03-24 20:18:42,38800,upi,0,0,setl_v7475r71o0yc13,captured
pay_0vo8vvql2xqpkf,order_9imgxy2n8srf76,2026-02-26 08:50:55,99100,upi,0,0,setl_f0i6ke7rbhmjkt,refunded
pay_j94xl60dn66dct,order_h22n1x9xlyhb0y,2026-03-29 19:56:54,263200,upi,0,0,setl_ow0twtoerpe7vu,captured
pay_d2ct85y4pn2z50,order_liax4g4auftfbp,2026-02-14 11:23:36,88100,upi,0,0,setl_1ccachqdm6zqy6,refunded
pay_a1chujq96qrt43,order_b23oevc9e6fcxz,2026-03-05 16:21:48,272200,upi,0,0,setl_gp497c84ae5o2v,captured
pay_hi92mu4sdkb1gw,order_jwwm03gbyfkm2x,2026-03-22 08:33:41,101600,upi,0,0,setl_qvbmospozcd7tt,captured
pay_z29n6ipzeomhiu,order_e29nlhwllwqsgk,2026-01-01 20:28:36,65600,upi,0,0,setl_ytk2x6ixuc1g3n,refunded
pay_mgx2rwuqba80if,order_m1f4coibsh3ey9,2026-02-06 17:38:19,112200,card,2244,404,setl_lqv1guqfhvhipf,captured
pay_82qkx72ysujint,order_l0bldl6kmp2t8u,2026-01-08 18:35:05,39600,card,792,143,setl_dhh9yxncwi1on0,captured
pay_7cdwtv95z8uulw,order_dqi4y3uo20oo1j,2026-03-13 21:13:56,266700,netbanking,5067,912,setl_58rfwsehgtslk1,captured
pay_dmjbk7qtb37wpi,order_9ohy54zwaazewi,2026-01-06 09:15:03,135200,upi,0,0,setl_eg6abr92l84xwe,refunded
pay_vxo4kar8wxw6eo,order_ro47npkkq3uo1m,2026-02-26 15:30:55,70000,upi,0,0,setl_f0i6ke7rbhmjkt,captured
pay_ur7jleb4yb7ot7,order_w3ybcc1y05caoh,2026-03-28 13:01:17,41800,upi,0,0,setl_ow0twtoerpe7vu,captured
pay_9jnuw370crazys,order_883zewf5d8o69s,2026-03-25 07:29:34,124200,card,2484,447,setl_1zlgzogrw61dzk,captured
pay_jjg178ljzj5tw5,order_879cnfog3ewnsd,2026-01-23 19:46:01,35400,upi,0,0,setl_9ayrzw9gzo8u0a,captured
pay_8ennqx0c7f8jww,order_z6621lpgkvsx8q,2026-02-14 11:46:18,129200,card,2584,465,setl_1ccachqdm6zqy6,captured
pay_xqe4950uwsrgfh,order_md5oezb938kzuf,2026-02-15 22:31:10,60200,wallet,1324,238,setl_1ccachqdm6zqy6,captured
pay_y1mkysp9bsv9g5,order_elriqrjmnp0ieh,2026-02-28 13:21:55,144400,card,2888,520,setl_6ukblvz2l8aqqk,captured
pay_zpsmq98oo47lnx,order_azm26ly012kwf2,2026-03-28 21:10:28,93800,upi,0,0,setl_ow0twtoerpe7vu,captured
pay_ulou9kz96avwpl,order_xfybi7crvfqfq9,2026-02-25 17:57:31,78900,upi,0,0,setl_3ajs8evqkc8r4g,captured
pay_5wrfgqwxavqacq,order_fpg0qpbjpt5aqo,2026-02-14 10:22:25,40900,upi,0,0,setl_1ccachqdm6zqy6,refunded
pay_r4nzu56e5oh8uh,order_nrapp8zurm45a9,2026-01-31 14:57:04,176500,upi,0,0,setl_wtdawru6vzsqao,captured
pay_jricbjpz09tyxf,order_okc8jor9nxasii,2026-01-13 20:51:19,35600,upi,0,0,setl_y2rxrt4vhx921w,captured
pay_oovj9p4gehu1bp,order_0sy7frm36q6b3v,2026-01-15 17:57:27,211100,netbanking,4011,722,setl_77w2jaqyt9q8fx,refunded
pay_l2a6dq3n2yrjcm,order_h4okxggjgzp6f6,2026-03-18 08:12:39,133600,card,2672,481,setl_dhvhrkoxibpgpa,captured
pay_eoakpkn7ij1zfr,order_ui4t2238iicynf,2026-01-06 07:34:25,68700,card,1374,247,setl_eg6abr92l84xwe,captured
pay_9p4uul75a4scm1,order_hf01u86ab3l32h,2026-01-13 14:19:14,57600,upi,0,0,setl_y2rxrt4vhx921w,captured
pay_ssmx6a3oqw4v97,order_vb9qvp57drenqg,2026-03-26 21:07:21,113300,upi,0,0,setl_sygqy59d41nov2,captured
pay_wnn4a2kqlzv71p,order_m4sw2mwedsrmx1,2026-02-03 11:35:30,32900,upi,0,0,setl_pz2onwk6evwj2o,captured
pay_31910ztq0rggvc,order_ps0z18jml9z5st,2026-03-02 22:18:40,37400,upi,0,0,setl_ghish9clfjybg7,captured
pay_w689rtskdsi81o,order_u89vd0g36py6ij,2026-01-02 08:12:45,120100,upi,0,0,setl_guejg2ci2ueajv,captured
pay_b1i67ppm32xvpl,order_yk9ef7foud1vss,2026-03-30 16:00:59,78900,card,1578,284,setl_kxj9b9jg0pswv5,captured
pay_21smmerilzw0to,order_ut7cay451y5qi2,2026-03-31 18:33:35,45600,upi,0,0,setl_ikjme5uvgfi2in,captured
pay_ggvlr7yporqmar,order_jmoe1cgkxdqt9u,2026-03-11 17:47:19,138600,upi,0,0,setl_b22xdffp5gilvj,captured
pay_wdkmdou1hdqnep,order_nuucnflbc23r81,2026-01-09 06:59:25,118200,upi,0,0,setl_wczngzgpdx2vlj,captured
pay_scs9sk12mlfmf8,order_c2lrfxr3jacvjf,2026-03-10 13:11:34,455200,wallet,10014,1803,setl_5uccniyrcaq04u,captured
pay_nx0uq7tr0vbhpm,order_muhmiezf8nylt7,2026-02-14 07:22:43,278700,upi,0,0,setl_1ccachqdm6zqy6,captured
pay_qzyevic06yu6ys,order_c3t4yrfyti95c4,2026-02-10 19:31:13,286200,upi,0,0,setl_vwl76fog1dd96l,captured
pay_89ioapmg3x6zpq,order_pn4spvlclvkqh4,2026-02-13 14:49:05,147900,upi,0,0,setl_1ccachqdm6zqy6,captured
pay_swk31uc09pd2b2,order_wnqkxe2xrp5ntq,2026-01-21 06:16:23,30000,card,600,108,setl_ovyj2fotbsflcg,captured
pay_asvv00kzwg05vm,order_k4xz3k8c6qjpb1,2026-03-29 22:06:43,79300,card,1586,285,setl_ow0twtoerpe7vu,captured
pay_dd0foh44l7x79o,order_gswp8utkzrxo8s,2026-02-15 20:07:48,35100,upi,0,0,setl_1ccachqdm6zqy6,captured
pay_2mbmcq67idnbmc,order_cyd9rbqzusonjr,2026-03-31 10:08:40,66500,netbanking,1264,228,setl_ikjme5uvgfi2in,captured
pay_5idckfymir0f26,order_z3rqis6qwkzl1x,2026-03-10 14:02:38,44700,card,894,161,setl_5uccniyrcaq04u,captured
pay_3u0szms7zhdgyg,order_4t8aeye7tmq2rm,2026-01-09 16:09:53,134600,upi,0,0,setl_wczngzgpdx2vlj,captured
pay_ssurm7q6c3jfmr,order_vozzjn0bhpc10f,2026-03-08 21:35:47,78600,upi,0,0,setl_t09hpfje1ebpw5,captured
pay_jevvywxkkzajca,order_oicds1s1w41foa,2026-03-26 15:05:31,105400,netbanking,2003,361,setl_sygqy59d41nov2,captured
pay_t54ih1lwdso0zm,order_j2u95yum4qdl8m,2026-01-09 12:15:24,48200,card,964,174,setl_wczngzgpdx2vlj,captured
pay_4v68vsxn13o6fz,order_8tz2wwvhqntgyk,2026-01-23 14:46:18,313200,upi,0,0,setl_9ayrzw9gzo8u0a,captured
pay_anedo1lof3682f,order_gsc35k6ca4twgt,2026-01-27 19:01:51,41500,upi,0,0,setl_1qrq836c1gk53i,captured
pay_0ylm9rgd9hzgdn,order_pq8vyytjpxh79i,2026-01-29 06:49:46,64100,upi,0,0,setl_qrtnq0w5cdj1fz,captured
pay_xoxvpzlwnd8imo,order_zg17vosx19v7mj,2026-01-18 12:05:59,147800,upi,0,0,setl_lsdr1p4ascpfyv,captured
pay_ut4zaplcn47j83,order_p1qyffzc940ubu,2026-03-01 12:13:44,36400,upi,0,0,setl_6ukblvz2l8aqqk,captured
pay_x62wte86koea2t,order_869t81mfm59opg,2026-01-31 15:03:57,164900,upi,0,0,setl_wtdawru6vzsqao,captured
pay_lgyghl47gj16cj,order_d5tc24osabgkwm,2026-02-04 13:54:01,78000,card,1560,281,setl_0hhtjhdiwzcf0n,captured
pay_380rgj8xqwm9xa,order_mrt309ydw3a22e,2026-02-09 15:45:24,91700,upi,0,0,setl_ynra49tu2orwwh,captured
pay_f2dyjb0fo9hdfw,order_8ol24lysh1722e,2026-03-29 15:49:01,77800,upi,0,0,setl_ow0twtoerpe7vu,captured
pay_mmzurrhyb8w01q,order_fv2whkswuhumev,2026-03-04 14:34:21,86000,upi,0,0,setl_ebfh7a0fzwc2ju,captured
pay_iex5qg56a51ljp,order_bg072mx605w60r,2026-01-20 22:06:14,53800,upi,0,0,setl_5qh0t9lmyks1a1,captured
pay_yxzbxz4gfg9h27,order_299kz0bzh8z5tb,2026-01-01 11:24:15,113200,upi,0,0,setl_ytk2x6ixuc1g3n,captured
pay_1fs37r8c0kcixl,order_yrp718w1f51j45,2026-03-12 09:04:27,41700,upi,0,0,setl_jvumun9mdld03w,captured
pay_k0byinrr92vmsw,order_kc37g0ef4s80c2,2026-03-25 15:27:50,302700,upi,0,0,setl_1zlgzogrw61dzk,captured
pay_1w4wysxthzyiln,order_5t2tls10mpkq3c,2026-01-21 14:19:28,362000,netbanking,6878,1238,setl_ovyj2fotbsflcg,captured
pay_8cirvkd6dlesyc,order_1ffj3z5bmzbu4m,2026-03-11 16:08:19,41100,upi,0,0,setl_b22xdffp5gilvj,captured
pay_rafxr9bg5m37c5,order_wimh4rrhz4m2cq,2026-01-14 15:44:21,146300,upi,0,0,setl_l9q54nop0e2y0e,captured
pay_82tgumhjy838mk,order_oteutl3y6vzj8a,2026-02-13 07:24:55,62600,card,1252,225,setl_1ccachqdm6zqy6,captured
pay_dvwxk60auityk9,order_6xqy1uy6bau1ly,2026-03-30 17:33:59,86000,upi,0,0,setl_kxj9b9jg0pswv5,captured
pay_k8hls6bwts20d3,order_o4pcxsrj5u0xqq,2026-01-16 06:31:36,554700,upi,0,0,setl_lsdr1p4ascpfyv,captured
pay_al4bsvdl1ml6y7,order_6bwnupw61ca5tm,2026-03-24 08:54:39,494800,netbanking,9401,1692,setl_v7475r71o0yc13,captured
pay_dpy84800zq6kp3,order_u61jfswdeafg6d,2026-01-10 10:43:11,56500,upi,0,0,setl_wczngzgpdx2vlj,captured
pay_hkp7nqut9oucks,order_5z6mo21rrznf9i,2026-01-24 22:36:37,214200,upi,0,0,setl_9ayrzw9gzo8u0a,captured
pay_vx051r4mm8c4n0,order_pyikvqxqmy9ngb,2026-03-22 08:24:12,71200,upi,0,0,setl_qvbmospozcd7tt,captured
pay_74ijfe8mw3spz5,order_t39svap0dbd71d,2026-01-22 13:29:16,62900,upi,0,0,setl_mcjrqus21u72yb,captured
pay_81orrhbgpqagiv,order_0ljsqm3a7z8cte,2026-03-29 06:27:04,45800,wallet,1008,181,setl_ow0twtoerpe7vu,captured
pay_rwq4mxvwg4zgb1,order_m50um3ikd2mful,2026-02-06 22:07:10,270500,upi,0,0,setl_lqv1guqfhvhipf,captured
pay_g6mpjx1ouv7tfk,order_q06n6zj2kockw8,2026-03-10 09:30:05,323100,upi,0,0,setl_5uccniyrcaq04u,captured
pay_e2q74sl7zyizdj,order_wifqljeu09elgn,2026-03-31 18:04:53,702000,upi,0,0,setl_ikjme5uvgfi2in,captured
pay_wj0mh466oi5btm,order_jlpptmtfb4hlu4,2026-02-16 08:42:11,92100,card,1842,332,setl_g9ndkzngcavtd0,captured
pay_t2ehb3305aylry,order_chh80qlfzbl41n,2026-02-28 11:54:16,204200,upi,0,0,setl_6ukblvz2l8aqqk,captured
pay_90k0mj5u1ahavx,order_o0c2sday55e876,2026-01-16 11:01:46,135600,upi,0,0,setl_lsdr1p4ascpfyv,captured
pay_conc2vvj0gp76s,order_8u5gsl8cbucqk0,2026-01-29 10:20:00,77600,upi,0,0,setl_qrtnq0w5cdj1fz,captured
pay_le8lvl8yoggtlh,order_u9ts0z0z0v50wq,2026-02-28 06:30:06,57200,upi,0,0,setl_6ukblvz2l8aqqk,captured
pay_0uii678poyhfg5,order_5wedvzvhe3lpgv,2026-03-02 21:33:13,76700,card,1534,276,setl_ghish9clfjybg7,refunded
pay_92qsuqc38rxe59,order_zzmg74316brezv,2026-03-31 22:37:47,64200,netbanking,1220,220,setl_ikjme5uvgfi2in,captured
pay_qznwaf88cqi6z9,order_sfvd4g4uub0r5b,2026-02-09 13:24:16,73500,upi,0,0,setl_ynra49tu2orwwh,captured
pay_hpe1yeogc887rw,order_buxan8emd9le4m,2026-01-24 20:28:45,789800,upi,0,0,setl_9ayrzw9gzo8u0a,captured
pay_wjkg76u40hqn1o,order_mp8bv5503o2flq,2026-03-29 17:33:37,71400,card,1428,257,setl_ow0twtoerpe7vu,captured
pay_heapg9ft1gtygg,order_pygypzd4af6e2e,2026-03-06 11:46:23,90000,upi,0,0,setl_t09hpfje1ebpw5,captured
pay_54e7j04k4m0gc7,order_nt848y9apj8ly7,2026-03-20 20:27:45,129700,upi,0,0,setl_qvbmospozcd7tt,captured
pay_heiw07sfjfnu4i,order_770th90djyy0xh,2026-01-13 22:17:18,35500,wallet,781,141,setl_y2rxrt4vhx921w,captured
pay_igvybth3du5vga,order_vsdkduqxv8ei00,2026-03-14 11:14:45,699700,card,13994,2519,setl_58rfwsehgtslk1,captured
pay_11zmy5uj2ho55a,order_f6bal598p3gtuv,2026-01-06 10:13:48,45000,netbanking,855,154,setl_eg6abr92l84xwe,captured
pay_mk6fn50xe8rpcz,order_z7anuaw4wkhh3m,2026-02-10 17:34:30,83900,upi,0,0,setl_vwl76fog1dd96l,captured
pay_0y99v2xl8rgdz0,order_ysdzt08ea0mhgj,2026-03-06 18:45:04,686200,upi,0,0,setl_t09hpfje1ebpw5,refunded
pay_bs5rdfe2jbl575,order_4irstfeegtxw5o,2026-02-02 19:16:54,80800,upi,0,0,setl_s1w2xvj47mp6ru,captured
pay_7um9no3szh311h,order_s26govkirs0wk4,2026-01-29 12:35:06,59900,upi,0,0,setl_qrtnq0w5cdj1fz,captured
pay_nf816ydtejb2r3,order_9y33a2ykp6xqwm,2026-02-26 18:55:42,45100,card,902,162,setl_f0i6ke7rbhmjkt,captured
pay_eak5h6fpt6eh3p,order_6hwn2l2lq4htkq,2026-03-11 09:58:51,67300,card,1346,242,setl_b22xdffp5gilvj,captured
pay_mevvi5zltktabm,order_f057xctf2impns,2026-01-06 22:02:04,37100,upi,0,0,setl_eg6abr92l84xwe,captured
pay_qu3gczr59mka0a,order_ipw81wfflscje3,2026-02-27 13:16:09,98200,card,1964,354,setl_6ukblvz2l8aqqk,captured
pay_gf0mbj1z16dx5m,order_qgjz9rj4pz95j9,2026-01-14 09:57:44,149500,upi,0,0,setl_l9q54nop0e2y0e,captured
pay_36t9hxrr10dgwc,order_129w9piplr3yrr,2026-03-17 10:18:06,216400,upi,0,0,setl_wagj3q30f1bxtw,captured
pay_i08rqdnuo48c39,order_qb8r4hkjl4kjjn,2026-02-02 10:52:14,33000,netbanking,627,113,setl_s1w2xvj47mp6ru,refunded
pay_xo1dj1htos5s5c,order_ocy6m4sp19fzvj,2026-01-01 11:09:21,73000,upi,0,0,setl_ytk2x6ixuc1g3n,captured
pay_rqi8sfjfe8svqo,order_42rf6l5v68zdrd,2026-01-22 22:25:29,161800,upi,0,0,setl_mcjrqus21u72yb,captured
pay_f6lh950rl42hkr,order_uu3wzbl453ufqv,2026-01-19 20:43:10,68600,wallet,1509,272,setl_74jp1l7v8u544b,captured
pay_ktg1votbltboil,order_gd3enm4jm4wj2k,2026-03-08 06:50:47,76200,netbanking,1448,261,setl_t09hpfje1ebpw5,captured
pay_d09csx2d3sd0yy,order_q3mph7hc48izjh,2026-03-06 12:55:17,52100,upi,0,0,setl_t09hpfje1ebpw5,captured
pay_hdvnldv8i2j6do,order_vgy7sodwz81xrd,2026-01-29 17:53:45,38000,upi,0,0,setl_qrtnq0w5cdj1fz,captured
pay_o6hmoudxpmrnjl,order_yiu30mk0pv47gm,2026-01-30 06:39:50,132700,upi,0,0,setl_wtdawru6vzsqao,captured
pay_3cpcy3bwrmtkwe,order_2r4qinu0oti0bz,2026-03-28 17:07:24,30800,upi,0,0,setl_ow0twtoerpe7vu,captured
pay_640exfhxpg63j1,order_srgucbkn2gewlf,2026-01-31 17:59:21,39700,upi,0,0,setl_wtdawru6vzsqao,captured
pay_e4in3orcuub98h,order_5funyjbzgh9edz,2026-02-12 09:55:04,320400,upi,0,0,setl_9ssvpb9jjfdl4c,refunded
pay_kabc2l8t2wvzni,order_93hfvxr1iwnvyw,2026-03-22 09:08:25,59800,card,1196,215,setl_qvbmospozcd7tt,captured
pay_42hancsrnqzx07,order_rhb5semdnym58y,2026-02-17 16:34:38,38100,upi,0,0,setl_rek0ik6hmx1wvj,captured
pay_5exuwgnzym4e63,order_0jj96crs5zmoje,2026-02-16 06:58:32,289000,upi,0,0,setl_g9ndkzngcavtd0,captured
pay_73f80y814fi578,order_tkezkjetvqfwyp,2026-03-11 18:34:16,141800,upi,176,32,setl_b22xdffp5gilvj,captured
pay_37bitom6xg6riu,order_gzpuafpv0sdymq,2026-02-26 20:15:30,94300,card,1886,339,setl_f0i6ke7rbhmjkt,captured
pay_id76s0u6nxp1kq,order_u09i15p3fwumc4,2026-03-19 16:19:53,81400,upi,0,0,setl_pda4jnpynovbu4,captured
pay_hb4ha31bjyroz9,order_rztp3a8sbs9kdj,2026-03-08 19:56:28,252000,card,5040,907,setl_t09hpfje1ebpw5,refunded
pay_90scv3lxks2d0p,order_krbssbzu4s9an9,2026-02-27 06:52:25,233400,upi,0,0,setl_6ukblvz2l8aqqk,captured
pay_y62jzt7agpyfwp,order_q89oet3zzy1ijp,2026-01-02 08:49:00,56500,card,1130,203,setl_guejg2ci2ueajv,captured
pay_q6ftjey0hgkpro,order_1fobcppvx0egs1,2026-01-28 10:26:50,47300,upi,0,0,setl_f01agjt4c5hn88,captured
pay_bx2xgy10qi3osm,order_2ketpxkibxr23n,2026-02-05 18:54:57,90000,upi,0,0,setl_7jt987yfjvvmv9,captured
pay_j1qgm95o1s7zp6,order_tomms0z8n643d9,2026-02-20 08:31:57,77100,upi,0,0,setl_p1cw1lfocopqsx,captured
pay_xn7q7ts1wjigsd,order_rltmkmuxd3717k,2026-01-19 17:20:50,330900,netbanking,6287,1132,setl_74jp1l7v8u544b,captured
pay_r8pgf1tgax6bbd,order_8bvhqxc55kc8w4,2026-03-10 07:39:08,74400,upi,0,0,setl_5uccniyrcaq04u,captured
pay_1lx6g571eqfdv5,order_sg6va2a8c0uoud,2026-01-16 17:32:51,239700,upi,0,0,setl_lsdr1p4ascpfyv,captured
pay_edvp5510ezo7oe,order_o5xriglhms7ryw,2026-03-09 17:29:31,106100,wallet,2334,420,setl_dlxg7wuq8atouk,captured
pay_h72nbe3vk2ne34,order_8bz80337qz8fn0,2026-03-17 14:31:28,32200,upi,0,0,setl_wagj3q30f1bxtw,captured
pay_ahbi2cfemfw60x,order_qoy6zdaimmmwvk,2026-03-18 07:58:34,93300,card,1866,336,setl_dhvhrkoxibpgpa,captured
pay_52jiivpzr9kv21,order_2etporukwev8tn,2026-01-26 20:03:33,191800,card,3836,690,setl_q2gssh4lb04rrn,captured
pay_xt8gghynapmzoi,order_w2gyrn9ovwpcvw,2026-01-21 20:00:29,71900,wallet,1582,285,setl_ovyj2fotbsflcg,captured
pay_zf9hva13vl1l4h,order_yy36rjcu0hz5cb,2026-03-23 15:31:47,299100,wallet,6580,1184,setl_a23u7r1nf00jzp,captured
pay_94gjubdb8jdq45,order_vbfm6xmlod4b3f,2026-01-30 10:39:25,138800,upi,0,0,setl_wtdawru6vzsqao,captured
pay_ke55qpbe54m2t4,order_ijldks1olla7eq,2026-03-16 15:50:25,66000,card,1320,238,setl_0j8yan61kfvae6,captured
pay_m2x9ewwyowjilj,order_wpkfc02ztjlng8,2026-02-27 08:53:55,284400,upi,0,0,setl_6ukblvz2l8aqqk,captured
pay_evnzeatpz5eygo,order_hwrv8jqvneqiae,2026-01-03 06:46:27,84600,upi,0,0,setl_guejg2ci2ueajv,captured
pay_sfd0v0j1s3vinj,order_jnz68d6nh8i2cn,2026-02-14 11:16:41,35100,upi,0,0,setl_1ccachqdm6zqy6,captured
pay_qbxmky20bcznmk,order_i40hnfjjfrjaz3,2026-02-01 07:32:59,54300,upi,0,0,setl_wtdawru6vzsqao,captured
pay_l9jagjn5gqoxy5,order_goglar07ggbya4,2026-03-05 14:32:31,204900,wallet,4508,811,setl_gp497c84ae5o2v,captured
pay_exfdqrpvt999ki,order_2jp7f5z49vz2zy,2026-03-07 18:53:31,61700,upi,0,0,setl_t09hpfje1ebpw5,captured
pay_wohmf1t7hbd79a,order_n4uvnolnswxxnv,2026-01-30 18:09:10,133000,upi,0,0,setl_wtdawru6vzsqao,captured
