txn_date,narration,credit_paise,debit_paise,closing_balance_paise,bank_ref
12/03/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-941023388590,5320260,0,638219642,HDFC780806692
13/03/2026,IMPS/494902808201/RAZORPAYSOFTWARE/SETTLEMENT,10469862,0,648689504,HDFC524403481
16/03/2026,IMPS/14940654l108/RAZORPAYSOFTWARE/SETTLEMENT,7683298,0,656372802,HDFC496822009
17/03/2026,UPI/CR/319904516942/RAZORPAY/HDFC/SETTLEMENT,22317369,0,678690171,HDFC730681833
23/03/2026,UPI/CR/9843440/RAZORPAY/HDFC/SETTLEMENT,35274697,0,713964868,HDFC952892910
24/03/2026,UPI/CR/904060392807/RAZORPAY/HDFC/SETTLEMENT,21453788,0,735418656,HDFC574361475
25/03/2026,RTGS-280356367796-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTL,6200306,0,741618962,HDFC467057792
26/03/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-686779173036,7912085,0,749531047,HDFC375436579
27/03/2026,MISC CR 8817726251,8142955,0,757674002,HDFC103986227
31/03/2026,NEFT-RAZORPAY SOFTWARE PRIVA-285874927490-HDFC-XXXXX,29929512,0,787603514,HDFC861119631
24/01/2026,*NEFT*//..//SETTL//,455579,0,788059093,HDFC206972989
10/03/2026,MISC CR 8817726251,396420,0,788455513,HDFC657900855
