settlement_id,settled_at,utr,net_amount_paise,fee_paise,gst_paise,refund_paise,adjustment_paise
setl_s4l1ku1vti53ru,11-Feb-26,374579457875,7457224,48284,8692,0,0
setl_ex4ek002gc2r1u,12-Feb-26,217666566975,6256015,55750,10037,352398,0
setl_owvw9a3grfow7z,13-Feb-26,221242540007,5798869,41099,7398,301300,0
setl_blfhrgh8cu53a4,16-Feb-26,461152022342,10053194,62784,11302,99620,0
setl_9hpnkvdkx29mhx,17-Feb-26,453918437099,22770846,207358,37327,831120,0
setl_hyo0coscm1600j,18-Feb-26,351805979739,3471027,36926,6647,612000,0
setl_9994rz2os2zywh,19-Feb-26,367444278733,5935253,36680,6602,470365,0
setl_marwnoou4khb0k,20-Feb-26,373028325394,6713861,41897,7542,0,0
setl_57dkr8we1ld4hf,23-Feb-26,736945186033,9133787,87130,15683,713400,0
setl_qal9h36vfum300,24-Feb-26,448068635142,20664888,104665,18839,671700,0
setl_2ejmt21xr8n21l,25-Feb-26,591293870527,8737259,86525,15574,834442,0
setl_dlrkavuq1t51a1,26-Feb-26,526259216035,6726272,40871,7357,754500,0
setl_fjubwhj4nuw113,27-Feb-26,961887469951,6720737,48708,8767,358300,0
setl_t8widn28c970o0,02-Mar-26,489787538088,13128270,64516,11614,57800,0
setl_wg96a9tv3603ep,03-Mar-26,104639742689,31653532,283265,50984,1941150,0
setl_gxt8aimmy71t26,04-Mar-26,283421670416,7068355,43938,7907,0,0
setl_s36ohm15574nxh,05-Mar-26,960871667419,8903877,76624,13793,257506,0
setl_id6lid416qfq61,06-Mar-26,985276550750,9825537,64121,11542,300400,0
setl_1pprr34her4zyz,09-Mar-26,145511240967,7658972,29657,5338,992400,25586
setl_8rcowtf1l5jtt6,10-Mar-26,401913018129,21463090,156113,28100,1407872,-4325
setl_6qsiife23ixpuu,11-Mar-26,932195268762,5810555,41264,7429,796752,0
setl_cy02355rxf3dgx,12-Mar-26,941023388590,5320260,47933,8631,278476,0
setl_mi7tt2ol7lcfi6,13-Mar-26,494902806201,10469862,110371,19867,207900,0
setl_pjr716gfgceh8w,16-Mar-26,149406543108,7683298,46845,8432,529345,0
setl_ob1zbkbpqox76q,17-Mar-26,319904516942,22317369,177228,31903,791700,0
setl_9ziplehvmcpcg3,18-Mar-26,984344063562,9200462,49269,8869,380500,0
setl_nf76s64rcbd6hk,19-Mar-26,172328883723,9150135,78920,14209,381700,0
setl_i779xkgycurgiw,20-Mar-26,302683988650,8644206,87536,15758,160700,0
setl_hjydfszyf4rzmu,23-Mar-26,663586875579,8279894,75895,13661,410950,0
setl_lkgzbjhy4tfgax,24-Mar-26,904060392807,21453788,156436,28159,583888,0
setl_ihlz60xnvw9v27,25-Mar-26,280356367796,6200306,70250,12644,1171500,0
setl_bjuqk7c3un19bl,26-Mar-26,686779173036,7912085,61918,11147,114500,0
setl_d932kldoq526i0,27-Mar-26,542854563295,8142955,60204,10836,212205,0
setl_86tilepkwugepq,30-Mar-26,285874927490,5508317,62682,11283,813118,0
setl_wqkvxto3gxvlu7,31-Mar-26,305038272010,24421195,214094,38532,276491,0
setl_j85ptu7k9no41z,01-Apr-26,302951400220,16123627,77012,13861,0,0
setl_63hjwsjao5sf4p,02-Apr-26,563112320074,14706470,115283,20747,0,0
